Article,Date,Title,Score,Reason
http://query.nytimes.com/gst/fullpage.html?res=9D0CEFDE1130F931A3575AC0A967958260,1991-09-02,"THE MEDIA BUSINESS: Publishing; An Ailing, Murky Industry Looks for Signs of Change",0,Article mentions Nintendo game console as one of the reasons  leading to death of book industry
http://query.nytimes.com/gst/fullpage.html?res=9D0CE4D6163EF934A2575AC0A967958260,1991-09-17,Girl Chained by Parents Says She Wants to Stay at Home,0,Article just mentions some child possessing and playing Nintendo
http://query.nytimes.com/gst/fullpage.html?res=9D0CE3D91530F93BA3575AC0A967958260,1991-09-08,Clio Has a ProblemCorrections,0,Article just mentions the company Nintendo 
http://query.nytimes.com/gst/fullpage.html?res=9D0CE7DC133AF93BA3575AC0A967958260,1991-09-08,"The Rural, Rustic and Quiet Life on West Fire Island",0,Article just mentions that kids spend more time playing Nintendo than outside
http://query.nytimes.com/gst/fullpage.html?res=9D0CE0DD1F3BF930A3575AC0A967958260,1991-09-03,Keyboard Kickoff For Football Season,0,Article has a mention of Nintendo game Mario
http://query.nytimes.com/gst/fullpage.html?res=9D0CE7DA1031F935A1575AC0A967958260,1991-09-26,PARENT & CHILD,0,Article mentions some boy not having Nintendo game
http://query.nytimes.com/gst/fullpage.html?res=9D0CE0DD133AF934A3575AC0A967958260,1991-09-07,Sports Leisure; Being Out There Is Worth It for Blind Golfers,0,The article mentions a person comparing himself to a Nintendo toy
http://query.nytimes.com/gst/fullpage.html?res=9D0CE7D71431F937A1575AC0A967958260,1991-09-24,New Battle For Hedgehog,2,Article talks of competition between Sega and Nintendo
http://query.nytimes.com/gst/fullpage.html?res=9D0CEFD91731F934A1575AC0A967958260,1991-09-27,NEWS SUMMARY,0,Article is a list of articles 
http://query.nytimes.com/gst/fullpage.html?res=9D0CE2DD1731F934A1575AC0A967958260,1991-09-27,BUSINESS DIGEST,1,Article is a summary of business for the day and mentions Minnesota to allow people to play lottery using Nintendo gamesets
http://query.nytimes.com/gst/fullpage.html?res=9D0CE0DC1638F934A1575AC0A967958260,1991-09-27,Nintendo and Minnesota Set A Living-Room Lottery Test,3,Article is about state of Minnesota allowing people to play lottery using Nintendo consoles 
http://query.nytimes.com/gst/fullpage.html?res=9D0CE6DF1038F933A2575AC0A967958260,1991-09-10,Super Nintendo Now Nationwide,3,Article is about Nintendo game console system being available nationwide across stores
http://query.nytimes.com/gst/fullpage.html?res=9D0CEFDC1E3EF93BA2575AC0A967958260,1991-09-18,BUSINESS DIGEST,0,Article is a summary of business and just contains a mention of Nintendo
http://query.nytimes.com/gst/fullpage.html?res=9D0CE1D6133DF93BA2575AC0A967958260,1991-09-18,Market Place; Investors Playing Nintendo Need Agility to Win Profits,3,Article is highly important and is has the game company as main subject
http://query.nytimes.com/gst/fullpage.html?res=9D0CE5D6123BF933A1575AC0A967958260,1991-09-20,New Chief Executive Named at Leo Burnett,0,Article is about new CEO at the Burnett company after it acquired Nintendo’s account
http://query.nytimes.com/gst/fullpage.html?res=9D0CE7D8113DF93AA3575AC0A967958260,1991-09-09,"P.R. Images Spread, Via Satellite",1,Article just mentions Nintendo gaming company using satellite transmissions to publicise its video game championship
http://query.nytimes.com/gst/fullpage.html?res=9D0CEFDB1038F936A1575AC0A967958260,1991-09-25,Metropolitan Diary,0,Article mentions some person being glad they didn't have Nintendo at that time
http://query.nytimes.com/gst/fullpage.html?res=9D0CEFDC113AF934A3575BC0A967958260,1991-08-07,The Hot Rods of the 90's Go Crash! Crunch! Crush!,0,The article just mentions a Nintendo game
http://query.nytimes.com/gst/fullpage.html?res=9D0CE7D91E3FF93AA1575BC0A967958260,1991-08-29,Smart Card&apos; Accord Is Signed by A.T.&T.,0,Article mentions some system which has a microcomputer equivalent to that of a Nintendo console
http://query.nytimes.com/gst/fullpage.html?res=9D0CE6DC1539F933A1575BC0A967958260,1991-08-20,Chess Game With Big Differences,0,The article mentions some game whose Nintendo version is due for November 1991
http://query.nytimes.com/gst/fullpage.html?res=9D0CEFDC1E30F935A2575BC0A967958260,1991-08-16,Nintendo Consolidates Account at Leo Burnett,3,The article is about Nintendo moving its account from one company to another company
http://query.nytimes.com/gst/fullpage.html?res=9D0CE4D81131F93AA3575BC0A967958260,1991-08-09,"Reviews/Art; On Long Island, Photos, Portraits, Pollock and Stereotyping",0,The article just mentions game Mario Brothers of Nintendo
http://query.nytimes.com/gst/fullpage.html?res=9D0CE1DF133AF932A25754C0A967958260,1991-07-11,"For Many, the Thrill Of the New Is Gone",1,Article mentions Nintendo forging agreements with Sony and Philips for the release of discs for game consoles
