Article; Relative_Relatedness_Score
http://query.nytimes.com/gst/fullpage.html?res=950DE2D91130F933A25755C0A96F948260; 0.008923162315938664
http://query.nytimes.com/gst/fullpage.html?res=950DE7D61638F937A25755C0A96F948260; 0.007747252303279324
http://query.nytimes.com/gst/fullpage.html?res=950DE4D61639F937A35754C0A96F948260; 0.004833373402109952
http://query.nytimes.com/gst/fullpage.html?res=950DE1DE173FF93BA35753C1A96F948260; 0.0021088550583661316
http://query.nytimes.com/gst/fullpage.html?res=950DE1D61F3EF930A35754C0A96F948260; 0.002005784415772057
http://query.nytimes.com/gst/fullpage.html?res=950DE1D91730F932A05754C0A96F948260; 0.0013935583651206735
http://query.nytimes.com/gst/fullpage.html?res=950DE6DB123DF93AA15754C0A96F948260; 0.0012892031221518792
http://query.nytimes.com/gst/fullpage.html?res=950DE2D7103EF930A15754C0A96F948260; 0.0010547093528061233
http://query.nytimes.com/gst/fullpage.html?res=950DEEDA1131F930A35754C0A96F948260; 9.707371162945657E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE4D61131F93AA35755C0A96F948260; 8.951291362547006E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE5DA123AF936A15754C0A96F948260; 8.389717578737314E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE4D91E3AF935A35752C1A96F948260; 8.328952072447408E-4
http://query.nytimes.com/gst/fullpage.html?res=950DEFD61E3EF935A15752C1A96F948260; 8.032990891979734E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE2D6133AF936A25755C0A96F948260; 7.918884928442409E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE3D61E3BF933A2575AC0A96F948260; 7.646420797730543E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE0DD133BF937A25753C1A96F948260; 5.808688008977666E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE2DB123CF933A15755C0A96F948260; 5.679581389625563E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE1DB173EF933A05754C0A96F948260; 5.595144877955962E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE2DF163CF933A05753C1A96F948260; 5.210744427973895E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE4DA1438F934A35755C0A96F948260; 4.345795821571624E-4
http://query.nytimes.com/gst/fullpage.html?res=950DEED9113DF935A15754C0A96F948260; 4.1954147577320393E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE3DB1739F937A25755C0A96F948260; 3.6963578049329493E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE4D91330F93AA2575BC0A96F948260; 2.585290386170538E-4
http://query.nytimes.com/gst/fullpage.html?res=950DEFDA1538F932A15753C1A96F948260; 2.4124637021578853E-4
http://query.nytimes.com/gst/fullpage.html?res=950DE0D91231F934A15753C1A96F948260; 1.5193693187630654E-4
