Entity; Entity_Count
http://dbpedia.org/resource/Constabulary; 3615
http://dbpedia.org/resource/School; 3508
http://dbpedia.org/resource/Man; 3134
http://dbpedia.org/resource/Student; 2793
http://dbpedia.org/resource/Year; 2641
http://dbpedia.org/resource/Counties_of_England; 2444
http://dbpedia.org/resource/Woman; 2269
http://dbpedia.org/resource/Day; 2179
http://dbpedia.org/resource/Photograph; 1842
http://dbpedia.org/resource/High_school; 1812
http://dbpedia.org/resource/April; 1716
http://dbpedia.org/resource/Home; 1706
http://dbpedia.org/resource/United_States; 1690
http://dbpedia.org/resource/Week; 1608
http://dbpedia.org/resource/Bill_(law); 1399
http://dbpedia.org/resource/City; 1353
http://dbpedia.org/resource/Human; 1331
http://dbpedia.org/resource/Game; 1322
http://dbpedia.org/resource/House; 1249
http://dbpedia.org/resource/State_(polity); 1245
http://dbpedia.org/resource/Death; 1214
http://dbpedia.org/resource/Child; 1199
http://dbpedia.org/resource/Trump; 1161
http://dbpedia.org/resource/Report; 1155
http://dbpedia.org/resource/Area; 1145
http://dbpedia.org/resource/Park; 1124
http://dbpedia.org/resource/Television; 1069
http://dbpedia.org/resource/Law; 1058
http://dbpedia.org/resource/Baseball; 1048
http://dbpedia.org/resource/Workweek_and_weekend; 1035
http://dbpedia.org/resource/News; 1030
http://dbpedia.org/resource/Tax; 984
http://dbpedia.org/resource/Family; 975
http://dbpedia.org/resource/Saturday; 938
http://dbpedia.org/resource/People; 936
http://dbpedia.org/resource/Girl; 902
http://dbpedia.org/resource/Prince; 900
http://dbpedia.org/resource/Community; 897
http://dbpedia.org/resource/Program_management; 877
http://dbpedia.org/resource/Team; 855
http://dbpedia.org/resource/Official; 849
http://dbpedia.org/resource/Chapeau; 841
http://dbpedia.org/resource/New_York_City; 828
http://dbpedia.org/resource/County_(United_States); 820
http://dbpedia.org/resource/Project; 819
http://dbpedia.org/resource/Road; 817
http://dbpedia.org/resource/Friday; 817
http://dbpedia.org/resource/Weather; 808
http://dbpedia.org/resource/Bus; 798
http://dbpedia.org/resource/Boy; 795
