Entity; Entity_Count
Donald_Trump; 4692
The_Police; 1960
Twitter; 1864
2016; 1601
Christmas; 1566
Holiday; 1317
Today_%28U.S._TV_program%29; 1266
Woman; 1201
Video; 1153
Help%21_%28album%29; 1149
PIC_microcontroller; 765
Barack_Obama; 745
United_States; 723
Gift; 698
Snow; 645
Attack_on_Pearl_Harbor; 645
Update_%28SQL%29; 643
Basketball; 621
Suspect_%281987_film%29; 620
Hat; 606
Crash_%282004_film%29; 587
Shooting; 555
Set_%28deity%29; 554
Family_%28biology%29; 551
Professional_employer_organization; 550
Electoral_College_%28United_States%29; 547
Saturday; 534
Home_%282015_animated_film%29; 532
2017; 527
Restaurant; 500
Facebook; 490
Protest; 488
Friday_%281995_film%29; 486
Pipeline_transport; 476
Lead; 476
Business; 473
Check-in; 472
Windows_Internet_Name_Service; 460
Green_Bay_Packers; 455
Republican_Party_%28United_States%29; 451
Student; 443
Teen_film; 435
Thursday; 431
This_Week_%28ABC_TV_series%29; 420
Alabama; 415
Kids_%28film%29; 408
Employment; 408
Girl; 402
Community_%28TV_series%29; 400
Monday; 395
Case_%28singer%29; 395
Game; 392
Editorial; 389
Lawsuit; 386
Lead_generation; 385
Minnesota; 383
Arrest; 380
Missing_%28film%29; 373
Fan_%28person%29; 373
Association_football; 373
Florida; 370
Ohio; 364
John_Glenn; 364
Christmas_and_holiday_season; 364
Veteran; 361
Voting; 359
Sunday; 359
The_Weather_Channel; 348
START_I; 347
Gatlinburg%2C_Tennessee; 341
Officer_%28armed_forces%29; 340
President_of_the_United_States; 339
Annual_plant; 336
Leadership; 333
Month; 332
Man; 332
Oakland%2C_California; 330
Wildfire; 328
10_%28film%29; 328
Tuesday; 326
Homelessness; 325
-elect; 323
Donation; 322
Dog; 321
Pre-exposure_prophylaxis; 320
Joba_Chamberlain; 319
Winter; 316
Death; 316
Russia; 315
Bing; 312
Accident; 311
Glyphosate; 310
Salary; 306
12-hour_clock; 303
Million; 302
California; 299
Allegation; 298
Prison; 297
New_Jersey; 295
Wednesday; 294
Study_skills; 294
Offers; 294
Car; 294
Live_%28band%29; 291
Downtown; 290
Workweek_and_weekend; 288
Family_%28US_Census%29; 287
Sikh; 286
Election; 285
Texas; 284
Hospital; 283
Hacker_culture; 281
Wisconsin; 278
Opinion; 278
Run_%28baseball%29; 277
Trial; 276
Heparin-induced_thrombocytopenia; 266
Retirement; 265
Honour; 263
Star; 260
Carrie_Fisher; 260
Reading_%28process%29; 258
Join_%28SQL%29; 258
Boy; 257
Church_%28building%29; 254
Meeting; 252
Celebrate%21; 252
Photograph; 251
City_council; 251
Recount_%28film%29; 250
Parent; 250
Volunteering; 249
Coach_%28sport%29; 248
Cannabis_%28drug%29; 247
Aleppo; 246
Sergeant; 244
North_Dakota; 244
Interstate_95; 244
Cops_%28TV_series%29; 244
Hit_%28baseball%29; 242
Toy; 241
United_States_Senate; 240
Victim_%281961_film%29; 238
Common_cold; 236
Need; 235
National_Football_League; 235
Gun; 235
Mom_%28TV_series%29; 233
Murder; 230
Conviction; 230
Storm; 227
Christmas_Eve; 227
Iowa; 226
Russian_language; 224
Democratic_Party_%28United_States%29; 223
Work_%28physics%29; 222
Outside_%28magazine%29; 222
Infant; 222
Adolescence; 220
Christmas_lights; 219
Book_of_Job; 218
Victory; 217
Associated_Press; 217
Stabbing; 216
Surprise_%28emotion%29; 215
Mason_City%2C_Iowa; 215
Gratuity; 215
Beat_%28music%29; 214
Traffic_%28band%29; 213
Court; 213
The_Buffalo_News; 212
Sentenced; 212
Tree; 211
Favourite; 211
The_Faces; 210
Jury; 210
Change.org; 210
15_%28number%29; 208
Washington_%28state%29; 206
Health; 206
Driving_under_the_influence; 206
Debate; 206
Cheer_%28brand%29; 206
Travel; 204
Time_%28magazine%29; 204
The_Holiday; 204
Pennsylvania; 203
Column; 203
Christmas_tree; 203
Career; 203
Por%2C_Armenia; 202
Bill_Clinton; 201
VR_Group; 200
High_school; 199
Looking; 198
11_%28number%29; 198
Lost_%28TV_series%29; 197
Patient_Protection_and_Affordable_Care_Act; 196
New_York; 196
Dallas_Cowboys; 196
Drug; 195
Drive_%282011_film%29; 195
Alleged_%28horse%29; 195
Counties_of_Iran; 194
China; 194
Truck; 193
Seattle; 193
Question; 193
Law; 193
Apartment; 193
Fundraising; 191
Diyarbak%C4%B1r; 191
Walmart; 190
Experience; 190
Key_%28lock%29; 189
Food; 189
Federal_Bureau_of_Investigation; 188
Budget; 188
Try; 186
Hearing; 186
12; 185
Vikings; 184
Ll; 184
FY%C3%9CTCH; 183
Worcester_Cold_Storage_and_Warehouse_Co._fire; 182
They; 182
Goes; 182
Fine_%28penalty%29; 182
Viral_video; 181
Sport; 181
Traffic_collision; 180
Rallying; 180
Gallery_%28magazine%29; 180
Concert; 180
Basketball_at_the_2010_Summer_Youth_Olympics_%E2%80%93_Girls%27_tournament; 180
Look_%28American_magazine%29; 179
House_%28TV_series%29; 179
75; 179
Hurt_%28Nine_Inch_Nails_song%29; 178
Hope; 178
St._Louis_Rams; 177
Inauguration; 177
Contraction_%28grammar%29; 177
20_%28number%29; 177
Thought; 176
Kentucky; 176
Signs_%28film%29; 175
Homicide; 175
Utah; 174
Maine; 172
United_States_Congress; 171
Threat; 171
Immigration; 171
1%2C000%2C000%2C000; 171
Amazon.com; 170
Neighbourhood; 169
Title; 168
Deaths_in_2015; 167
This_Morning_%28TV_programme%29; 166
Santa_Claus; 166
Rain; 164
Option_%28finance%29; 164
Online_and_offline; 164
Montana; 162
Ask.com; 162
Repeal; 161
Party; 161
Par%C3%A1; 161
Leaf; 161
Finally_%28CeCe_Peniston_song%29; 161
Staff_%28music%29; 160
Memphis%2C_Tennessee; 160
Hundred_%28county_division%29; 160
Winter_storm; 159
Road; 159
News_%28band%29; 159
Cancer; 159
13_%28number%29; 159
Uber_%28company%29; 158
Tax; 158
Hiking; 158
Helping_behavior; 158
Golden_State_Warriors; 158
Dylann_Roof; 158
Wanted_%282008_film%29; 157
Carrier_Corporation; 157
Athlete; 157
Oakland_Raiders; 156
Heroin; 156
United_States_Secretary_of_State; 155
How-to; 155
Ford_Probe; 155
Dayton%2C_Ohio; 155
Letter_%28alphabet%29; 153
Feds; 153
Education; 153
Autumn; 153
Arizona; 153
Starting_pitcher; 152
Nebraska; 152
Money; 152
Louisiana_State_University; 152
Lot_%28biblical_person%29; 152
Customer; 152
Tennessee; 151
Popular_%28TV_series%29; 151
Fun_%28band%29; 151
30_%28number%29; 151
Safe; 150
George_Michael; 150
Stories_%28band%29; 149
Oregon; 149
New_Year%27s_Eve; 149
Mother; 149
Miami; 149
Low_%28band%29; 149
Buffalo_Bills; 149
Vladimir_Putin; 148
Set_%28mathematics%29; 148
Goal; 148
Comet; 148
Wrestling; 147
Virginia; 147
Tucson%2C_Arizona; 147
News_satire; 147
Neighbors_%282014_film%29; 147
Indiana; 147
Image; 147
Hans-Dieter_Sues; 147
Construction; 147
14_%28number%29; 147
Issues_%28band%29; 146
Capital_punishment; 146
Assault; 146
Indictment; 145
Fifty_Shades_of_Grey; 145
Delays; 145
16_%28number%29; 145
Recipe; 144
Nonprofit_organization; 144
Quarterback; 143
100_%28number%29; 143
Vehicle; 142
Flight_%282012_film%29; 142
Expert; 142
Water; 141
Volleyball; 141
Success_%28magazine%29; 141
Percentage; 141
Email; 141
Colorado; 141
60_%28number%29; 141
Target_Corporation; 139
Boulder%2C_Colorado; 139
Patience; 138
Campus; 138
Oakland_firestorm_of_1991; 137
Details_%28magazine%29; 137
DC_Challenge; 137
Cabinet_of_the_United_States; 137
Medical_state; 136
Board_of_education; 136
Youth; 135
Seattle_Seahawks; 135
Forward_%28association_football%29; 135
Badger; 135
Sales; 134
Racism; 134
Idea; 134
Decision-making; 134
Central_Intelligence_Agency; 134
September_11_attacks; 133
San_Francisco_Bay_Area; 133
Race_%28human_categorization%29; 133
Lights_%28musician%29; 133
Hours_%282013_film%29; 133
Hawaii; 133
White_House; 132
Standing_Rock_Indian_Reservation; 132
Top_40; 131
The_Salvation_Army; 131
Safety; 131
Chicago; 131
Idaho; 130
Save_%28baseball%29; 129
Proposal_%28business%29; 129
Festival; 129
Contract; 129
Supporter; 128
Property; 128
Paul_the_Apostle; 128
National_Basketball_Association; 128
Hanukkah; 128
Santa_Claus_parade; 127
Potential; 127
Closure_%28computer_programming%29; 127
Bear; 127
Applied_Digital_Data_Systems; 127
The_Gunman_%28film%29; 126
Pound_%28mass%29; 126
Last_Night_%282010_film%29; 126
Friends; 126
Christmas_market; 126
Bowl; 126
Availability; 125
Shopping_mall; 124
Sandy_Hook_Elementary_School_shooting; 124
Political_campaign; 124
ConocoPhillips; 124
Ceo_%28musician%29; 124
Candidate; 124
Wyoming; 123
Star_Wars; 123
Sexual_assault; 123
Received_Pronunciation; 123
Funding; 123
Fidel_Castro; 123
Auburn_University; 123
Politics; 122
Plea; 122
Crime; 122
Ceremony; 122
Americans; 122
Address_%28geography%29; 122
United_States_Environmental_Protection_Agency; 121
Stolen_%282012_film%29; 121
Selling; 121
Benefit_%28album%29; 121
Schedule; 120
Boost_Mobile; 120
25_%28number%29; 120
TOPS_Club; 118
North_Carolina; 118
Nation; 118
Kansas_City_Chiefs; 118
Hillary_Clinton; 118
Controversy; 118
Connecticut; 118
Baltimore; 118
Rogue_One%3A_A_Star_Wars_Story; 117
Raise%21; 117
Policy; 117
Pennsylvania_State_University; 117
Vow; 116
Running; 116
Podcast; 116
