Entity; Entity_Count
http://dbpedia.org/resource/Year; 3564
http://dbpedia.org/resource/Constabulary; 3549
http://dbpedia.org/resource/School; 3395
http://dbpedia.org/resource/Man; 2982
http://dbpedia.org/resource/Counties_of_England; 2503
http://dbpedia.org/resource/Woman; 2148
http://dbpedia.org/resource/Basketball; 2034
http://dbpedia.org/resource/Photograph; 1840
http://dbpedia.org/resource/Student; 1838
http://dbpedia.org/resource/Day; 1778
http://dbpedia.org/resource/United_States; 1589
http://dbpedia.org/resource/Snow; 1587
http://dbpedia.org/resource/Home; 1488
http://dbpedia.org/resource/Week; 1450
http://dbpedia.org/resource/Human; 1393
http://dbpedia.org/resource/Barack_Obama; 1354
http://dbpedia.org/resource/January; 1341
http://dbpedia.org/resource/High_school; 1318
http://dbpedia.org/resource/Report; 1284
http://dbpedia.org/resource/State_(polity); 1279
http://dbpedia.org/resource/Game; 1270
http://dbpedia.org/resource/City; 1255
http://dbpedia.org/resource/Girl; 1189
http://dbpedia.org/resource/Television; 1179
http://dbpedia.org/resource/Boy; 1115
http://dbpedia.org/resource/Area; 1097
http://dbpedia.org/resource/News; 1086
http://dbpedia.org/resource/Road; 1075
http://dbpedia.org/resource/Martin_Luther_King,_Jr.; 1073
http://dbpedia.org/resource/House; 1073
http://dbpedia.org/resource/Bill_(law); 1009
http://dbpedia.org/resource/Death; 1000
http://dbpedia.org/resource/Bus; 994
http://dbpedia.org/resource/Child; 965
http://dbpedia.org/resource/Official; 960
http://dbpedia.org/resource/Program_management; 957
http://dbpedia.org/resource/Weather; 954
http://dbpedia.org/resource/Gun; 938
http://dbpedia.org/resource/Workweek_and_weekend; 936
http://dbpedia.org/resource/Saturday; 912
http://dbpedia.org/resource/New_Year; 912
http://dbpedia.org/resource/Winter; 889
http://dbpedia.org/resource/Storm; 879
http://dbpedia.org/resource/People; 865
http://dbpedia.org/resource/Water; 820
http://dbpedia.org/resource/Night; 819
http://dbpedia.org/resource/Family; 808
http://dbpedia.org/resource/Film; 796
http://dbpedia.org/resource/Park; 792
http://dbpedia.org/resource/County_(United_States); 785
http://dbpedia.org/resource/Health; 776
http://dbpedia.org/resource/Team; 769
http://dbpedia.org/resource/Friday; 768
http://dbpedia.org/resource/Community; 768
http://dbpedia.org/resource/Mayor; 763
http://dbpedia.org/resource/Chapeau; 756
http://dbpedia.org/resource/Council; 740
http://dbpedia.org/resource/Winter_storm; 725
http://dbpedia.org/resource/Restaurant; 722
http://dbpedia.org/resource/Tax; 713
http://dbpedia.org/resource/Car; 710
http://dbpedia.org/resource/Clothing; 703
http://dbpedia.org/resource/Project; 696
http://dbpedia.org/resource/Monday; 691
http://dbpedia.org/resource/Gyroscopic_exercise_tool; 689
http://dbpedia.org/resource/Lord's_Day; 685
http://dbpedia.org/resource/Football; 685
http://dbpedia.org/resource/Drug; 679
http://dbpedia.org/resource/Powerball; 678
http://dbpedia.org/resource/U.S._state; 676
http://dbpedia.org/resource/Officer_(armed_forces); 673
http://dbpedia.org/resource/Job; 669
http://dbpedia.org/resource/Star; 666
http://dbpedia.org/resource/Law; 666
http://dbpedia.org/resource/Location_(geography); 656
http://dbpedia.org/resource/Beach; 655
http://dbpedia.org/resource/Service_(economics); 652
http://dbpedia.org/resource/Tuesday; 643
http://dbpedia.org/resource/Lake; 638
http://dbpedia.org/resource/Musical_ensemble; 620
http://dbpedia.org/resource/Season_(sports); 612
http://dbpedia.org/resource/Dog; 611
http://dbpedia.org/resource/Legislator; 608
http://dbpedia.org/resource/Prison; 593
http://dbpedia.org/resource/Street; 591
http://dbpedia.org/resource/New_York_City; 586
http://dbpedia.org/resource/Valley; 582
http://dbpedia.org/resource/Food; 579
http://dbpedia.org/resource/Teacher; 577
http://dbpedia.org/resource/Ordinal_number; 577
http://dbpedia.org/resource/San_people; 574
http://dbpedia.org/resource/Judge; 567
http://dbpedia.org/resource/Elevated_railway; 555
http://dbpedia.org/resource/Thursday; 553
http://dbpedia.org/resource/Wednesday; 549
http://dbpedia.org/resource/Ticket_(admission); 549
http://dbpedia.org/resource/California; 549
http://dbpedia.org/resource/Playoffs; 541
http://dbpedia.org/resource/Month; 539
http://dbpedia.org/resource/Murder; 537
http://dbpedia.org/resource/Athletics_(sport); 535
http://dbpedia.org/resource/Downtown; 518
http://dbpedia.org/resource/Trump; 514
http://dbpedia.org/resource/Police_officer; 508
