Entity; Entity_Count
The_Police; 2059
Twitter; 1926
Today_%28U.S._TV_program%29; 1698
2016; 1483
Powerball; 1481
Video; 1405
Woman; 1199
Barack_Obama; 1144
Snow; 1061
Donald_Trump; 1010
Help%21_%28album%29; 956
News_%28band%29; 858
Basketball; 833
Update_%28SQL%29; 808
Saturday; 745
Hat; 725
PIC_microcontroller; 661
2015; 643
Republican_Party_%28United_States%29; 632
Set_%28deity%29; 605
Gun; 601
Green_Bay_Packers; 592
Friday_%281995_film%29; 585
Shooting; 581
United_States; 570
Suspect_%281987_film%29; 563
Debate; 555
Restaurant; 537
Check-in; 536
Home_%282015_animated_film%29; 527
Girl; 516
Arrest; 506
Student; 494
Fan_%28person%29; 493
Monday; 491
Sunday; 488
This_Week_%28ABC_TV_series%29; 485
Winter_storm; 474
Priests_of_the_Sacred_Heart; 469
Tuesday; 459
Teen_film; 459
Windows_Internet_Name_Service; 458
David_Bowie; 457
Storm; 451
START_I; 451
12-hour_clock; 446
Professional_employer_organization; 442
Crash_%282004_film%29; 441
Case_%28singer%29; 438
Thursday; 430
Facebook; 430
Alabama; 426
Editorial; 422
Leadership; 418
Game; 418
Business; 417
Family_%28biology%29; 416
Martin_Luther_King%2C_Jr.; 406
Lead_generation; 406
Million; 405
Wednesday; 400
Pre-exposure_prophylaxis; 396
Homelessness; 395
Missing_%28film%29; 394
Iowa; 383
Workweek_and_weekend; 370
Bernie_Sanders; 369
Winter; 366
City_council; 366
Wisconsin; 364
Kids_%28film%29; 362
New_Jersey; 360
Salary; 358
Voting; 357
The_Weather_Channel; 356
Prison; 351
President_of_the_United_States; 348
Employment; 348
Community_%28TV_series%29; 347
Coach_%28sport%29; 347
Man; 346
The_Latest_Buzz; 343
10_%28film%29; 343
Sikh; 338
Month; 338
Lead; 338
Florida; 338
Meeting; 334
Sales; 328
National_Football_League; 323
Officer_%28armed_forces%29; 319
Oregon; 317
Lawsuit; 317
Join_%28SQL%29; 314
Reading_%28process%29; 309
Murder; 309
Boy; 307
Heparin-induced_thrombocytopenia; 305
Offers; 304
Column; 303
Ohio; 302
Live_%28band%29; 302
Academy_Awards; 299
Downtown; 297
Honour; 296
Death; 293
California; 293
Star; 289
Rallying; 289
Protest; 287
Glyphosate; 283
Hospital; 281
Allegation; 280
Accident; 279
Photograph; 278
Opinion; 278
Minnesota; 277
Hearing; 274
Dog; 274
Basketball_at_the_2010_Summer_Youth_Olympics_%E2%80%93_Girls%27_tournament; 272
Work_%28physics%29; 271
Change.org; 269
Car; 269
Retirement; 268
Cops_%28TV_series%29; 268
Walmart; 267
Budget; 265
Volunteering; 258
State_of_the_Union; 258
Annual_plant; 257
Health; 256
Savannah%2C_Georgia; 255
Question; 255
1%2C000%2C000%2C000; 254
Joba_Chamberlain; 253
Contraction_%28grammar%29; 252
Details_%28magazine%29; 249
Por%2C_Armenia; 248
New_York; 248
Counties_of_Iran; 248
Adolescence; 248
30_%28number%29; 248
Bing; 246
Arizona; 246
Joaqu%C3%ADn_Guzm%C3%A1n; 244
Sport; 243
Hit_%28baseball%29; 243
Candidate; 243
Stabbing; 242
Need; 242
Beat_%28music%29; 242
Association_football; 242
Look_%28American_magazine%29; 241
Infant; 241
Celebrate%21; 241
Parent; 239
Traffic_%28band%29; 236
Study_skills; 235
Run_%28baseball%29; 235
Seattle_Seahawks; 232
Blizzard; 232
12; 232
This_Morning_%28TV_programme%29; 230
Starting_pitcher; 230
Indictment; 228
Cannabis_%28drug%29; 228
Homicide; 227
Driving_under_the_influence; 226
Try; 225
Bill_Clinton; 225
Louisiana_State_University; 224
Texas; 223
House_%28TV_series%29; 223
Outside_%28magazine%29; 222
Issues_%28band%29; 221
Gratuity; 221
Favourite; 221
Looking; 220
Education; 220
Victim_%281961_film%29; 219
Road; 218
Flood; 218
Veteran; 217
Proposal_%28business%29; 217
Race_%28human_categorization%29; 216
Steven_Avery; 214
Book_of_Job; 214
Sentenced; 211
Time_%28magazine%29; 210
The_Faces; 210
Ll; 210
Indiana; 210
Apartment; 210
Goes; 209
Common_cold; 209
Clemson_University; 209
Athlete; 209
Traffic_collision; 208
Standoff_%28TV_series%29; 208
Eagles_%28band%29; 205
Vikings; 204
How-to; 204
Delays; 204
New_York_City; 203
Conviction; 202
Key_%28lock%29; 200
Sergeant; 199
Associated_Press; 199
Super_Bowl; 198
RT_%28TV_network%29; 198
Gallery_%28magazine%29; 198
Utah; 197
Staff_%28music%29; 196
Par%C3%A1; 196
Leaf; 196
Diyarbak%C4%B1r; 196
15_%28number%29; 195
69; 194
Kentucky; 193
Image; 193
FY%C3%9CTCH; 192
High_school; 191
Donation; 191
Democratic_Party_%28United_States%29; 191
Wrestling; 190
Iran; 188
Career; 188
Money; 187
Food; 187
Online_and_offline; 186
Federal_Bureau_of_Investigation; 186
Martin_Luther_King%2C_Jr._Day; 185
Buffalo_Bills; 185
Zika_virus; 184
Connecticut; 184
TOPS_Club; 183
Political_campaign; 183
Travel; 182
Rain; 182
Last_Night_%282010_film%29; 182
Heroin; 182
Tax; 181
Supreme_Court_of_the_United_States; 181
Hillary_Clinton; 181
Fundraising; 181
DC_Challenge; 181
Threat; 179
Low_%28band%29; 179
Address_%28geography%29; 179
Lot_%28biblical_person%29; 177
Concert; 177
New_England_Patriots; 176
16_%28number%29; 176
United_States_Senate; 175
Campus; 175
Board_of_education; 175
Water; 174
Nashville%2C_Tennessee; 174
Miami; 173
Learning; 173
Law; 173
Issue_%28legal%29; 173
Washington_%28state%29; 172
Court; 172
Set_%28mathematics%29; 170
Kansas; 170
Finally_%28CeCe_Peniston_song%29; 170
Thought; 169
St._Louis_Rams; 169
Maine; 169
Palm_Beach%2C_Florida; 168
ConocoPhillips; 168
Safe; 167
Mom_%28TV_series%29; 166
Drug; 166
Auburn_University; 166
Victory; 165
Trial; 165
Computer_file; 165
Share_%28finance%29; 164
Baltimore; 164
Superintendent_%28police%29; 163
Stories_%28band%29; 163
Quarterback; 163
Colorado; 163
Alleged_%28horse%29; 162
Illinois; 161
Hundred_%28county_division%29; 161
Contract; 161
Party; 159
Cancer; 159
20_%28number%29; 159
Beer; 158
Augusta%2C_Georgia; 158
New_Year%27s_Eve; 156
Goal; 156
Beats_Electronics; 156
Virginia; 155
Fun_%28band%29; 155
Fear; 155
Construction; 155
Stock; 154
Philadelphia; 154
Lost_%28TV_series%29; 154
Denver_Broncos; 154
Tennessee; 153
Patience; 153
Expert; 153
Option_%28finance%29; 152
Mahtab_Keramati; 152
Inch; 152
Hoverboard; 152
Georgia_%28U.S._state%29; 152
Crime; 152
Chicago; 151
Gun_control; 150
Flint; 150
Success_%28magazine%29; 149
.se; 149
Unmanned_aerial_vehicle; 148
Neighbors_%282014_film%29; 148
Focus_%282015_film%29; 148
San_Francisco_49ers; 147
Missouri; 147
Ask.com; 147
Uber_%28company%29; 146
Oklahoma; 146
Kansas_City_Chiefs; 146
Neighbourhood; 145
Drive_%282011_film%29; 145
Town; 144
Recruitment; 144
Feds; 144
Youth; 143
Montana; 143
Los_Angeles; 143
Holiday; 143
Race_and_ethnicity_in_the_United_States_Census; 142
Mardi_Gras; 142
Major; 142
Gift; 142
Resident; 141
Property; 141
Pennsylvania; 141
Assault; 141
Winner_%28band%29; 140
Need_to_know; 140
Fifty_Shades_of_Grey; 140
Badger; 140
Autumn; 140
Salinas%2C_California; 139
Competition; 139
17_%28number%29; 139
Wanted_%282008_film%29; 138
Underway; 138
Target_Corporation; 138
Planning; 138
North_Korea; 138
Hiking; 138
Golden_State_Warriors; 138
Experience; 138
Percentage; 137
Black_panther; 137
Applied_Digital_Data_Systems; 137
They; 136
Glenn_Frey; 136
Fiscal_year; 136
Boost_Mobile; 136
Topeka%2C_Kansas; 135
Surprise_%28emotion%29; 135
Potential; 135
Medical_cannabis; 135
Good-morning; 135
Diversity_%28business%29; 135
Commuting; 135
Tucson%2C_Arizona; 134
Star_Wars; 134
Helping_behavior; 134
Funding; 134
Cat; 134
Winners; 133
Super_Bowl_50; 133
Happiness; 133
Film; 133
Decision-making; 133
Church_%28building%29; 133
The_State_%28TV_series%29; 132
Schedule; 132
Police_commissioner; 132
Committee; 132
Bus; 132
Truck; 131
Southern_California; 131
Put_option; 131
Immigration; 131
Device_driver; 131
Deadline.com; 131
California_State_Lottery; 131
Netflix; 130
Alan_Rickman; 130
Top_40; 129
The_Drop_%28film%29; 129
San_Jose%2C_California; 129
Expansi%C3%B3n_%28Spain%29; 129
Austin%2C_Texas; 129
11_%28number%29; 129
Supporter; 128
Hotel; 128
Hosts_%28file%29; 128
Arizona%27s_Instrument_to_Measure_Standards; 128
China; 127
Availability; 127
Yesterday_%28Beatles_song%29; 126
Training; 126
Sarah_Palin; 126
Rare; 126
Plea; 125
Nebraska; 125
Legislature; 125
Hawaii; 125
Family_%28US_Census%29; 125
Viral_video; 124
University_of_North_Dakota; 124
Title; 124
Politics; 124
Appeal; 124
Ted_Cruz; 123
Pound_%28mass%29; 123
Parade; 123
Indianapolis_500; 123
Forward_%28association_football%29; 123
Executive_order; 123
Speak_%28film%29; 122
Seattle; 122
Mother; 122
Letter_%28alphabet%29; 122
Stolen_%282012_film%29; 121
South_Carolina; 121
Paul_the_Apostle; 121
Mississippi; 121
Methamphetamine; 121
Hope; 121
Electric_current; 121
Denver; 121
13_%28number%29; 121
100_%28number%29; 121
Wyoming; 120
Library; 120
Customer; 120
Closure_%28computer_programming%29; 120
14_%28number%29; 120
Vehicle; 119
Safety; 119
Legacy.com; 119
Internet_forum; 119
Staten_Island; 118
Speech; 118
Save_%28baseball%29; 118
S%C3%A9es; 118
Running; 118
Hurt_%28Nine_Inch_Nails_song%29; 118
Health_care; 118
Celebration%2C_Florida; 118
Sexual_assault; 117
Muhammad_Ali; 117
Fine_%28penalty%29; 117
Americans; 117
Prisoner; 116
65; 116
Space_Shuttle_Challenger_disaster; 115
Hans-Dieter_Sues; 115
Fraud; 115
Crowd; 115
Caught; 115
OK; 114
Felony; 114
Disability; 114
Calendar; 114
Benefit_%28album%29; 114
Art; 114
Spotlight_%28film%29; 113
Selling; 113
Renovation; 113
Number; 113
Natalie_Cole; 113
Lunch; 113
25_%28number%29; 113
Springfield%2C_Illinois; 112
School_district; 112
Omaha%2C_Nebraska; 112
National_Basketball_Association; 112
Email; 112
60_%28number%29; 112
Xzibit; 111
Ted_Bundy; 111
Reno%2C_Nevada; 111
Regions_of_France; 111
Plenty_%28film%29; 111
Michigan_State_University; 111
Love; 111
Louisville%2C_Kentucky; 111
Ice; 111
Richmond%2C_Virginia; 110
Resignation; 110
Rape; 110
Oil; 110
North_Dakota; 110
Atlanta; 110
Shiny; 109
Session_%28computer_science%29; 109
Planned_Parenthood; 109
Louisiana; 109
Civic_Conservative_Party; 109
Ceo_%28musician%29; 109
Andrew_Cuomo; 109
Nonprofit_organization; 108
Home_Fires_%28Canadian_TV_series%29; 108
Entrepreneurship; 108
Controversy; 108
Challenge_X; 108
State_of_the_State_address; 107
Prediction; 107
Female; 107
Tree; 106
San_Francisco; 106
Project; 106
Price_of_oil; 106
Ethan_Couch; 106
Cardinal_%28bird%29; 106
Bond_%28finance%29; 106
A%26M_Records; 106
Stage_%28theatre%29; 105
Policy; 105
Madison%2C_Wisconsin; 105
Foot; 105
Dream; 105
Domestic_violence; 105
Deaths_in_2015; 105
Conversation; 105
Analysis; 105
Tourism; 104
Rout; 104
Overtime_%28ice_hockey%29; 104
Indianapolis_Colts; 104
Hand; 104
Boulder%2C_Colorado; 104
Swimming_%28sport%29; 103
Moment_%28physics%29; 103
Gun_violence_in_the_United_States; 103
Funeral; 103
Dallas; 103
Chief_of_police; 103
Alaska; 103
University_of_Washington; 102
University_of_Georgia; 102
Track_and_field; 102
Sex_position; 102
San_Francisco_Bay_Area; 102
Push_%282009_film%29; 102
Pickup_truck; 102
Parking; 102
Oakland%2C_California; 102
Letter_to_the_editor; 102
Rescue; 101
Nation; 101
Housing; 101
Hours_%282013_film%29; 101
Grand_jury; 101
Eye; 101
Cuts; 101
Course_%28navigation%29; 101
18_%28number%29; 101
Half-time; 100
Friends; 100
Activism; 100
Tornado; 99
Portland%2C_Oregon; 99
Pets.com; 99
New_Hampshire; 99
Grant_%28money%29; 99
Delay_%28audio_effect%29; 99
Columnist; 99
Chase_%28bank%29; 99
Ban_%28title%29; 99
Rockford%2C_Illinois; 98
Message; 98
Earthquake; 98
Cincinnati_Bengals; 98
Poverty; 97
District_attorney; 97
County_commission; 97
Taken_%28film%29; 96
Serve_%28tennis%29; 96
Rochester%2C_New_York; 96
Mexico; 96
Cultural_icon; 96
Coffeehouse; 96
Adult; 96
Popular_%28TV_series%29; 95
Highlights_for_Children; 95
Evidence_%28law%29; 95
19_%28number%29; 95
Yes_%28band%29; 94
Investment; 94
Ford_Probe; 94
Drawing; 94
Application_software; 94
Worry; 93
United_States_presidential_election; 93
The_Revenant_%282015_film%29; 93
Refugee; 93
In_Custody_%28novel%29; 93
History; 93
Complaint; 93
Acquittal; 93
.22_Long_Rifle; 93
University_of_Central_Florida; 92
The_New_Year_%28band%29; 92
Redlands%2C_California; 92
New_Year%27s_Day; 92
Farm; 92
Elementary_%28TV_series%29; 92
East_Coast_of_the_United_States; 92
Dinner; 92
Coaching; 92
200; 92
.gov; 92
Weather; 91
Recipe; 91
Principal_Financial_Group; 91
Museum; 91
Limit_%28mathematics%29; 91
Home_invasion; 91
Firefighter_%28film%29; 91
Camera; 91
Brigham_Young_University; 91
Brewery; 91
Venezuela; 90
Retail; 90
Jury; 90
Find; 90
Festival; 90
Emergency%21; 90
Dayton%2C_Ohio; 90
Cover_version; 90
Cleveland_Browns; 90
Bruce_Rauner; 90
Blaze_%28film%29; 90
.su; 90
Mental_disorder; 89
MASSIVE_%28software%29; 89
Kickoff_%28gridiron_football%29; 89
Interview; 89
Id%2C_ego_and_super-ego; 89
Fee; 89
Clearwire; 89
City; 89
Birthday; 89
Animal; 89
500_%28card_game%29; 89
Problem_solving; 88
Power_%28physics%29; 88
Peyton_Manning; 88
Patient_Protection_and_Affordable_Care_Act; 88
Norton_LiveUpdate; 88
Illegal_drug_trade; 88
County_%28United_States%29; 88
Brockton%2C_Massachusetts; 88
Anno_Domini; 88
Amyloid_precursor_protein; 88
40_%28number%29; 88
.info; 88
Upcoming; 87
United_Kingdom; 87
Tournament_%28medieval%29; 87
Strike_action; 87
Stepfamily; 87
Signs_%28film%29; 87
Sandy_Hook_Elementary_School_shooting; 87
SPOT_%28satellite%29; 87
Queen%27s_Counsel; 87
Peoria%2C_Illinois; 87
Oakland_Raiders; 87
Idea; 87
Human_trafficking; 87
Golden_Globe_Award; 87
Gasoline_and_diesel_usage_and_pricing; 87
24_%28TV_series%29; 87
YouTube; 86
September_11_attacks; 86
Scholarship; 86
Rhode_Island; 86
Pizza; 86
Nevada; 86
Data; 86
At_Home_%28store%29; 86
.ag; 86
Snowmobile; 85
Singer_Corporation; 85
Scott_Walker; 85
Santa_Cruz%2C_California; 85
Roc_%28mythology%29; 85
February; 85
Family_law; 85
Takeover; 84
Raise%21; 84
Photography; 84
Paul_LePage; 84
Maybe_%28The_Chantels_song%29; 84
Happy_New_Year_%282014_film%29; 84
Green_Bay%2C_Wisconsin; 84
Emotion; 84
Duluth%2C_Minnesota; 84
Comet; 84
Breakfast; 84
Boycott; 84
Pedestrian; 83
Ice_hockey; 83
Highway; 83
Gord_Bamford; 83
Commission_%28remuneration%29; 83
Bomb_threat; 83
Blog; 83
Agenda_%28meeting%29; 83
White_House; 82
University_of_Mississippi; 82
Spring_%28season%29; 82
Security; 82
Michigan; 82
Manatee; 82
HOT_%28missile%29; 82
Fire_department; 82
Capital_punishment; 82
Board_of_directors; 82
Approval_voting; 82
21_%282008_film%29; 82
Welcome_%282007_film%29; 81
Website; 81
Violence; 81
United_States_Navy; 81
Tweet_%28singer%29; 81
Play_%28theatre%29; 81
Muncie%2C_Indiana; 81
Millennials; 81
Bank; 81
Attention; 81
Affect_%28psychology%29; 81
27_%28number%29; 81
Social_media; 80
Shovel; 80
Pittsburgh_Steelers; 80
Pet; 80
Overnight; 80
Firearm; 80
Buffalo%2C_New_York; 80
B-Real; 80
Airport; 80
Sunny_%28song%29; 79
SEAT; 79
Patent_claim; 79
Ohio_State_University; 79
Milwaukee; 79
Cougar; 79
Bridge; 79
Attention_deficit_hyperactivity_disorder; 79
74_%28number%29; 79
Workshop; 78
Wine; 78
United_States_Congress; 78
Thanks_%28TV_series%29; 78
Task_force; 78
Tackle_%28football_move%29; 78
Suspended; 78
Surveying; 78
St._Louis; 78
Middle_school; 78
Hampton%2C_Virginia; 78
Gams; 78
Christmas; 78
Chipotle; 78
Chip_Kelly; 78
Accused_%28TV_series%29; 78
Parking_lot; 77
Music; 77
Marco_Rubio; 77
Hall_of_fame; 77
Girlfriend; 77
Cash; 77
Bank_robbery; 77
Ammon; 77
Water_scarcity; 76
Toddler; 76
This_Afternoon; 76
Terrorism; 76
Risk; 76
New_Orleans; 76
Long_Island; 76
Inductive_effect; 76
Greenville%2C_South_Carolina; 76
Dallas_Cowboys; 76
Asheville%2C_North_Carolina; 76
Vermont; 75
Upset; 75
Upgrade; 75
Stole_%28vestment%29; 75
Online_chat; 75
Notebook; 75
Initiative; 75
Hannibal; 75
Gas_leak; 75
Doug; 75
Bluffton%2C_South_Carolina; 75
Anger; 75
Allentown%2C_Pennsylvania; 75
Abraham_Lincoln; 75
26_%28number%29; 75
.45_ACP; 75
The_Patriot-News; 74
Providence%2C_Rhode_Island; 74
Noon; 74
Newport_News%2C_Virginia; 74
Mand_%28psychology%29; 74
Light-emitting_diode; 74
Johnny_Manziel; 74
Grocery_store; 74
Government; 74
Fishing; 74
Explosion; 74
Crisis; 74
Cars_%28film%29; 74
Car_chase; 74
Bear; 74
Apple_Inc.; 74
94; 74
90_%28number%29; 74
35_%28number%29; 74
23_%28number%29; 74
Watching; 73
Twin_cities; 73
Traffic_stop; 73
Tiger; 73
Shopping_mall; 73
Seven_%281995_film%29; 73
Pregnancy; 73
Plant; 73
Performance; 73
Meal; 73
Legendary_%28film%29; 73
Father; 73
Fair; 73
Evening; 73
Ernest_Bevin; 73
Enjoy%21_%28Descendents_album%29; 73
Decade; 73
Commitment_%28film%29; 73
Breaking_news; 73
Bit; 73
Word; 72
Turn%3A_Washington%27s_Spies; 72
Saved%21; 72
Promise; 72
Hollywood; 72
Economy; 72
Community; 72
Ceremonial_ship_launching; 72
1946%E2%80%9347_Philadelphia_Warriors_season; 72
West_Virginia_University; 71
Surfing; 71
Sparks_%28band%29; 71
Sioux_City%2C_Iowa; 71
Recall_election; 71
Offense_%28sports%29; 71
News_conference; 71
Inter-American_Development_Bank; 71
Idaho; 71
Grammy_Award; 71
Deer; 71
Choice; 71
Auction; 71
Alcohol; 71
31; 71
1_metre; 71
Waterville%2C_Maine; 70
San_Antonio_Spurs; 70
SAT; 70
Right_Now_%28Van_Halen_song%29; 70
Ranch; 70
Primary_election; 70
Plung%C4%97; 70
Paper; 70
Islamic_State_of_Iraq_and_the_Levant; 70
Departments_of_France; 70
Cycling; 70
Checkers_and_Rally%27s; 70
900; 70
Unemployment; 69
The_Walt_Disney_Company; 69
Skiing; 69
Sean_Penn; 69
Research; 69
Minutes; 69
Happening; 69
Fugitive; 69
Farmers_Insurance_Group; 69
Drink; 69
Dilation_and_curettage; 69
Cuba; 69
Council%E2%80%93manager_government; 69
70; 69
67_%28number%29; 69
Rival; 68
Police_dog; 68
Microbrewery; 68
Medicaid; 68
Lubbock%2C_Texas; 68
Framingham%2C_Massachusetts; 68
Entertainment; 68
Dining_in; 68
Cool_%28aesthetic%29; 68
Beach; 68
U.S._state; 67
Trade; 67
The_Nation; 67
Suit_%28clothing%29; 67
Solution; 67
San_Bernardino%2C_California; 67
Sacramento%2C_California; 67
Ride_%28band%29; 67
Received_Pronunciation; 67
R%C3%A9sum%C3%A9; 67
OpenEd; 67
Old_age; 67
Modesto%2C_California; 67
Layoff; 67
Kidnapping; 67
John_Kasich; 67
Human_settlement; 67
Gas; 67
Fire; 67
Extra_%28TV_program%29; 67
Concussion; 67
Addiction; 67
700_%28number%29; 67
28_%28number%29; 67
2017; 67
The_Week; 66
Springfield%E2%80%93Branson_National_Airport; 66
SMART_criteria; 66
Rayo_Vallecano; 66
